Ammonia MQ135,Co2,Alcohol,Methane,Hydrogen Sulfide,LPG,Hydrogen,Ammonia MQ137,label,Time,TVC
3.01,605.18,3860.38,2260.42,14.49,4.7,128.16,0.38,1,4.258888889,4.1675
2.97,605.18,3850.05,2257.18,14.68,4.72,128.42,0.38,1,4.259166667,4.1675
2.96,605.18,3850.05,2260.42,14.62,4.73,128.32,0.38,1,4.259444444,4.1675
2.96,605.18,3844.89,2250.71,14.49,4.73,128.32,0.38,1,4.259722222,4.1675
2.97,605.18,3819.22,2257.18,14.68,4.73,128.37,0.38,1,4.26,4.1675
2.99,605.18,3860.38,2270.17,14.57,4.73,128.42,0.38,1,4.260277778,4.1675
3,605.18,3865.57,2266.92,14.74,4.72,128.48,0.37,1,4.260555556,4.1675
3.12,605.18,3809,2257.18,14.62,4.87,128.37,0.38,1,4.260833333,4.1675
3.04,605.18,3881.15,2270.17,14.71,4.73,128.48,0.38,1,4.261111111,4.1675
3.01,605.18,3860.38,2260.42,14.54,4.68,128.37,0.37,1,4.261388889,4.1675
3.09,605.18,3870.75,2257.18,14.76,4.73,128.42,0.38,1,4.261666667,4.1675
3.18,605.18,3881.15,2257.18,14.49,4.71,128.48,0.37,1,4.261944444,4.1675
3.03,605.18,3824.34,2257.18,14.6,4.7,128.32,0.38,1,4.262222222,4.1675
3.07,605.18,3865.57,2266.92,14.74,4.73,128.53,0.38,1,4.2625,4.1675
3.01,605.18,3860.38,2270.17,14.74,4.74,129.33,0.39,1,4.262777778,4.1675
3.07,605.18,3870.75,2270.17,14.71,4.75,128.53,0.37,1,4.263055556,4.1675
3.05,605.18,3865.57,2263.67,14.74,4.73,128.64,0.38,1,4.263333333,4.1675
3.04,605.18,3881.15,2302.95,14.52,4.74,128.37,0.38,1,4.263611111,4.1675
3.04,605.18,3886.35,2270.17,14.74,4.73,128.48,0.37,1,4.263888889,4.1675
2.99,605.18,3875.94,2266.92,14.76,4.73,128.58,0.38,1,4.264166667,4.1675
3.04,605.18,3886.35,2273.43,14.74,4.73,128.96,0.38,1,4.264444444,4.1675
3.07,605.18,3881.15,2270.17,14.76,4.74,128.58,0.38,1,4.264722222,4.1675
3.03,605.18,3881.15,2270.17,14.49,4.72,128.48,0.37,1,4.265,4.1675
3.03,605.18,3870.75,2263.67,14.74,4.73,128.37,0.37,1,4.265277778,4.1675
2.98,605.18,3723.3,2270.17,14.82,4.73,128.48,0.38,1,4.265555556,4.1675
3.01,605.18,3902.02,2270.17,14.68,4.73,128.53,0.38,1,4.265833333,4.1675
3.06,605.18,3891.57,2263.67,14.62,4.79,128.64,0.38,1,4.266111111,4.1675
3.1,605.18,3891.57,2266.92,14.57,4.73,128.53,0.38,1,4.266388889,4.1675
3.08,605.18,3896.79,2273.43,14.68,4.73,128.53,0.39,1,4.266666667,4.1675
2.96,605.18,3886.35,2283.23,14.74,4.73,128.48,0.38,1,4.266944444,4.1675
3.04,605.18,3902.02,2276.7,14.71,4.74,128.53,0.37,1,4.267222222,4.1675
3.08,605.18,3902.02,2270.17,14.71,4.73,128.64,0.38,1,4.2675,4.1675
3.06,605.18,3902.02,2362.99,14.65,4.79,128.48,0.38,1,4.267777778,4.1675
3.3,605.18,3886.35,2296.36,14.6,4.76,128.48,0.38,1,4.268055556,4.1675
3.08,605.18,3912.5,2276.7,14.62,4.73,128.48,0.38,1,4.268333333,4.1675
3.08,605.18,3834.6,2276.7,14.71,4.74,128.58,0.38,1,4.268611111,4.1675
3.01,605.18,3912.5,2276.7,14.62,4.73,129.12,0.38,1,4.268888889,4.1675
3.02,605.18,3907.26,2270.17,14.57,4.71,129.6,0.38,1,4.269166667,4.1675
2.97,605.18,3902.02,2270.17,14.57,4.74,128.58,0.38,1,4.269444444,4.1675
3.03,605.18,3912.5,2270.17,14.68,4.75,128.48,0.38,1,4.269722222,4.1675
3.06,605.18,3912.5,2283.23,14.65,4.74,128.74,0.27,1,4.27,4.1675
3.1,605.18,3917.76,2273.43,14.74,4.74,128.64,0.37,1,4.270277778,4.1675
2.99,605.18,3912.5,2279.96,14.71,4.81,128.42,0.38,1,4.270555556,4.1675
3.08,605.18,3917.76,2302.95,14.76,4.73,127.58,0.38,1,4.270833333,4.1675
2.81,605.18,3902.02,2270.17,14.62,4.73,128.58,0.38,1,4.271111111,4.1675
3.06,605.18,3912.5,2276.7,14.85,4.73,128.58,0.38,1,4.271388889,4.1675
3.05,605.18,3928.29,2299.65,14.74,4.81,128.58,0.38,1,4.271666667,4.1675
3.03,605.18,3944.13,2283.23,14.76,4.73,129.01,0.38,1,4.271944444,4.1675
2.62,605.18,3718.32,2283.23,14.76,4.73,128.64,0.38,1,4.272222222,4.1675
2.96,605.18,3834.6,2283.23,14.74,4.73,128.64,0.36,1,4.2725,4.1675
2.96,605.18,3933.56,2279.96,14.71,4.73,128.58,0.38,1,4.272777778,4.1675
2.96,605.18,3912.5,2279.96,14.68,4.73,128.53,0.38,1,4.273055556,4.1675
2.97,605.18,3928.29,2296.36,14.74,4.72,128.53,0.38,1,4.273333333,4.1675
2.98,605.18,3933.56,2322.81,14.46,4.73,128.64,0.37,1,4.273611111,4.1675
2.97,605.18,3839.74,2302.95,14.74,4.79,129.07,0.38,1,4.273888889,4.1675
2.98,605.18,3928.29,2283.23,14.62,4.79,128.64,0.37,1,4.274166667,4.1675
2.99,605.18,3944.13,2283.23,14.49,4.76,128.8,0.38,1,4.274444444,4.1675
2.99,605.18,3949.43,2283.23,14.82,4.78,128.74,0.36,1,4.274722222,4.1675
2.96,605.18,3944.13,2299.65,14.76,4.85,128.64,0.37,1,4.275,4.1675
2.99,605.18,3944.13,2383.31,14.76,4.75,128.64,0.36,1,4.275277778,4.1675
3,605.18,3938.84,2306.25,14.76,4.79,129.01,0.38,1,4.275555556,4.1675
2.96,605.18,3938.84,2302.95,14.71,4.74,128.74,0.38,1,4.275833333,4.1675
3.27,605.18,3933.56,2316.17,14.74,4.79,128.69,0.38,1,4.276111111,4.1675
3,605.18,3970.7,2302.95,14.74,4.76,128.8,0.36,1,4.276388889,4.1675
2.99,605.18,3954.74,2276.7,14.82,4.9,129.07,0.37,1,4.276666667,4.1675
3,605.18,3960.05,2306.25,14.76,4.74,129.17,0.38,1,4.276944444,4.1675
3.01,605.18,3965.37,2302.95,14.79,4.75,128.69,0.28,1,4.277222222,4.1675
3.01,605.18,3954.74,2309.55,14.76,4.74,128.69,0.38,1,4.2775,4.1675
3.06,605.18,3965.37,2332.8,14.74,4.74,128.74,0.38,1,4.277777778,4.1675
3.08,605.18,3960.05,2283.23,15.07,4.76,128.69,0.38,1,4.278055556,4.1675
2.93,605.18,3944.13,2279.96,14.82,4.74,128.9,0.38,1,4.278333333,4.1675
3.05,605.18,3860.38,2283.23,14.71,4.75,128.9,0.38,1,4.278611111,4.1675
2.99,605.18,3970.7,2322.81,14.71,4.74,128.96,0.38,1,4.278888889,4.1675
3.07,605.18,3970.7,2286.51,14.79,4.75,129.01,0.38,1,4.279166667,4.1675
3.06,605.18,3981.38,2306.25,14.74,4.75,129.07,0.36,1,4.279444444,4.1675
3.07,605.18,3976.04,2322.81,14.74,4.79,129.01,0.37,1,4.279722222,4.1675
3.03,605.18,3997.46,2283.23,14.76,4.74,128.58,0.39,1,4.28,4.1675
3.06,605.18,3986.73,2326.14,14.74,4.76,129.12,0.36,1,4.280277778,4.1675
3,605.18,3986.73,2289.79,14.82,4.78,129.07,0.38,1,4.280555556,4.1675
3.06,605.18,3997.46,2329.47,14.85,4.65,129.01,0.38,1,4.280833333,4.1675
3.26,605.18,3976.04,2302.95,14.79,4.81,129.12,0.38,1,4.281111111,4.1675
2.99,605.18,4008.21,2302.95,14.74,4.75,128.8,0.39,1,4.281388889,4.1675
3,605.18,3997.46,2329.47,14.79,4.78,128.74,0.38,1,4.281666667,4.1675
3.04,605.18,3976.04,2302.95,14.85,4.79,129.07,0.36,1,4.281944444,4.1675
3,605.18,4019,2326.14,14.76,4.79,128.85,0.37,1,4.282222222,4.1675
3.03,605.18,3986.73,2336.14,14.79,4.74,129.07,0.36,1,4.2825,4.1675
3.09,605.18,3965.37,2309.55,14.85,4.76,129.17,0.38,1,4.282777778,4.1675
3.05,605.18,3997.46,2329.47,14.88,4.76,129.39,0.39,1,4.283055556,4.1675
3.07,605.18,4008.21,2329.47,14.82,4.8,129.39,0.32,1,4.283333333,4.1675
3.08,605.18,4013.6,2329.47,14.85,4.75,128.74,0.38,1,4.283611111,4.1675
3.01,605.18,3997.46,2306.25,14.96,4.79,128.69,0.37,1,4.283888889,4.1675
3.04,605.18,3992.09,2332.8,14.74,4.78,129.17,0.36,1,4.284166667,4.1675
3,605.18,3997.46,2336.14,14.79,4.76,129.01,0.38,1,4.284444444,4.1675
2.9,605.18,4008.21,2322.81,14.85,4.77,129.01,0.38,1,4.284722222,4.1675
3.01,605.18,3997.46,2322.81,14.76,4.8,129.07,0.37,1,4.285,4.1675
3.01,605.18,4008.21,2332.8,14.79,4.81,129.12,0.38,1,4.285277778,4.1675
3.01,605.18,3997.46,2342.83,14.49,4.76,129.01,0.37,1,4.285555556,4.1675
3.03,605.18,4019,2302.95,14.79,4.76,129.12,0.38,1,4.285833333,4.1675
3.16,605.18,4008.21,2312.86,14.85,4.75,129.23,0.38,1,4.286111111,4.1675
3.01,605.18,3881.15,2329.47,14.79,4.81,129.12,0.38,1,4.286388889,4.1675
2.99,605.18,4008.21,2336.14,14.71,4.81,129.5,0.38,1,4.286666667,4.1675
3.03,605.18,4029.81,2326.14,14.85,4.79,129.17,0.38,1,4.286944444,4.1675
2.92,605.18,4019,2276.7,14.79,4.79,129.55,0.37,1,4.287222222,4.1675
3,605.18,4056.99,2342.83,14.85,4.75,129.17,0.38,1,4.2875,4.1675
3.03,605.18,4013.6,2339.48,14.85,4.79,129.07,0.36,1,4.287777778,4.1675
3.01,605.18,4029.81,2336.14,14.76,4.76,129.44,0.37,1,4.288055556,4.1675
2.83,605.18,4019,2332.8,14.74,4.79,129.07,0.36,1,4.288333333,4.1675
2.83,605.18,4013.6,2339.48,14.74,4.72,129.66,0.38,1,4.288611111,4.1675
2.92,605.18,4024.4,2336.14,14.88,4.8,129.17,0.38,1,4.288888889,4.1675
2.86,605.18,4040.66,2339.48,14.82,4.79,129.6,0.36,1,4.289166667,4.1675
2.88,605.18,4029.81,2332.8,14.82,4.81,129.66,0.38,1,4.289444444,4.1675
2.85,605.18,4029.81,2342.83,14.79,4.81,129.17,0.38,1,4.289722222,4.1675
2.91,605.18,4029.81,2342.83,14.9,4.83,129.5,0.38,1,4.29,4.1675
2.9,605.18,4035.24,2342.83,14.85,4.76,129.55,0.39,1,4.290277778,4.1675
2.93,605.18,4056.99,2339.48,14.9,4.81,129.17,0.38,1,4.290555556,4.1675
2.93,605.18,4051.55,2342.83,14.68,4.79,129.77,0.38,1,4.290833333,4.1675
2.93,605.18,4040.66,2336.14,14.79,4.81,129.6,0.39,1,4.291111111,4.1675
2.94,605.18,4062.45,2346.18,14.82,4.81,129.6,0.38,1,4.291388889,4.1675
2.98,605.18,4051.55,2349.53,14.85,4.81,129.5,0.38,1,4.291666667,4.1675
3.05,605.18,4056.99,2339.48,15.02,4.82,129.39,0.38,1,4.291944444,4.1675
3.04,605.18,4051.55,2339.48,14.85,4.82,129.5,0.38,1,4.292222222,4.1675
3.36,605.18,4084.37,2342.83,14.88,4.82,129.28,0.38,1,4.2925,4.1675
3.11,605.18,4029.81,2346.18,14.93,4.81,129.6,0.36,1,4.292777778,4.1675
3.08,605.18,4051.55,2339.48,14.9,4.85,129.6,0.37,1,4.293055556,4.1675
3.11,605.18,4062.45,2356.25,14.93,4.81,129.5,0.38,1,4.293333333,4.1675
3.04,605.18,4062.45,2336.14,14.85,4.81,129.82,0.37,1,4.293611111,4.1675
3.04,605.18,4040.66,2349.53,14.88,4.74,129.5,0.38,1,4.293888889,4.1675
3.01,605.18,4051.55,2352.89,14.96,4.8,129.55,0.3,1,4.294166667,4.1675
3.03,605.18,4051.55,2346.18,14.9,4.82,129.55,0.38,1,4.294444444,4.1675
2.95,605.18,4056.99,2346.18,14.76,4.82,129.17,0.38,1,4.294722222,4.1675
2.98,605.18,4056.99,2342.83,14.85,4.81,129.55,0.38,1,4.295,4.1675
3.07,605.18,4073.4,2349.53,14.9,4.8,130.04,0.37,1,4.295277778,4.1675
3,605.18,4062.45,2349.53,14.88,4.81,129.55,0.38,1,4.295555556,4.1675
3.06,605.18,4056.99,2349.53,14.9,4.82,129.6,0.36,1,4.295833333,4.1675
3,605.18,4062.45,2342.83,14.88,4.81,129.55,0.38,1,4.296111111,4.1675
3.08,605.18,4067.92,2342.83,14.96,4.82,129.23,0.38,1,4.296388889,4.1675
3,605.18,4089.87,2342.83,14.82,4.81,129.66,0.38,1,4.296666667,4.1675
3.04,605.18,4029.81,2312.86,14.9,4.79,129.12,0.38,1,4.296944444,4.1675
3.03,605.18,4067.92,2410.65,14.96,4.82,129.6,0.38,1,4.297222222,4.1675
3,605.18,4073.4,2349.53,14.88,4.76,129.23,0.38,1,4.2975,4.1675
3.06,605.18,4084.37,2342.83,14.88,4.71,129.5,0.38,1,4.297777778,4.1675
3.08,605.18,4062.45,2393.53,14.85,4.79,129.33,0.38,1,4.298055556,4.1675
3.04,605.18,4067.92,2349.53,14.99,4.82,129.6,0.37,1,4.298333333,4.1675
3.1,605.18,4095.37,2349.53,14.82,4.81,129.6,0.38,1,4.298611111,4.1675
2.89,605.18,4084.37,2352.89,14.96,4.87,129.71,0.37,1,4.298888889,4.1675
3.21,605.18,4084.37,2362.99,14.68,4.82,129.33,0.36,1,4.299166667,4.1675
3.01,605.18,4095.37,2346.18,14.85,4.81,129.87,0.37,1,4.299444444,4.1675
2.97,605.18,4095.37,2352.89,15.16,4.87,129.66,0.38,1,4.299722222,4.1675
2.99,605.18,4078.88,2352.89,14.88,4.86,129.77,0.38,1,4.3,4.1675
2.93,605.18,4095.37,2356.25,15.02,4.83,129.71,0.38,1,4.300277778,4.1675
2.93,605.18,4095.37,2356.25,14.79,4.81,129.66,0.38,1,4.300555556,4.1675
2.96,605.18,4123.02,2356.25,14.99,4.87,129.66,0.38,1,4.300833333,4.1675
2.99,605.18,4100.89,2349.53,14.9,4.86,129.77,0.38,1,4.301111111,4.1675
2.99,605.18,4106.41,2349.53,14.93,4.81,129.71,0.39,1,4.301388889,4.1675
3.02,605.18,4095.37,2359.62,14.6,4.85,129.87,0.38,1,4.301666667,4.1675
3.03,605.18,4100.89,2342.83,15.04,4.82,129.77,0.38,1,4.301944444,4.1675
3.01,605.18,4111.94,2390.12,15.02,4.82,129.82,0.37,1,4.302222222,4.1675
3.02,605.18,4106.41,2362.99,14.88,4.87,129.71,0.38,1,4.3025,4.1675
3.04,605.18,3933.56,2349.53,14.85,4.87,129.82,0.38,1,4.302777778,4.1675
2.98,605.18,4106.41,2352.89,15.04,4.87,129.77,0.38,1,4.303055556,4.1675
2.98,605.18,4100.89,2359.62,15.13,4.83,129.93,0.38,1,4.303333333,4.1675
2.99,605.18,4117.48,2362.99,14.99,4.83,129.93,0.38,1,4.303611111,4.1675
2.93,605.18,4117.48,2349.53,14.99,4.87,129.82,0.37,1,4.303888889,4.1675
2.98,605.18,4128.58,2362.99,14.88,4.87,129.77,0.31,1,4.304166667,4.1675
2.99,605.18,4117.48,2362.99,14.9,4.87,129.77,0.38,1,4.304444444,4.1675
2.98,605.18,4117.48,2362.99,14.79,4.88,129.87,0.37,1,4.304722222,4.1675
3.02,605.18,4117.48,2112.39,14.96,4.88,129.77,0.38,1,4.305,4.1675
3.32,605.18,4145.28,2359.62,14.93,4.87,129.71,0.38,1,4.305277778,4.1675
3.06,605.18,4100.89,2366.37,15.02,4.88,129.77,0.37,1,4.305555556,4.1675
2.98,605.18,4134.14,2369.75,14.9,4.82,129.66,0.38,1,4.305833333,4.1675
3.03,605.18,4150.87,2359.62,14.96,4.87,129.71,0.38,1,4.306111111,4.1675
3.03,605.18,4173.29,2362.99,14.96,4.86,129.93,0.38,1,4.306388889,4.1675
3.01,605.18,4173.29,2369.75,15.02,4.86,129.87,0.38,1,4.306666667,4.1675
2.91,605.18,4264.28,2362.99,14.96,4.86,129.93,0.37,1,4.306944444,4.1675
3,605.18,4150.87,2362.99,14.93,4.88,129.87,0.38,1,4.307222222,4.1675
3.01,605.18,4128.58,2356.25,14.96,4.87,129.82,0.38,1,4.3075,4.1675
2.75,605.18,4145.28,2362.99,14.99,4.87,129.17,0.38,1,4.307777778,4.1675
3.01,605.18,4145.28,2349.53,14.99,4.86,129.77,0.38,1,4.308055556,4.1675
3.04,605.18,4173.29,2366.37,14.93,4.92,129.77,0.36,1,4.308333333,4.1675
3.03,605.18,4150.87,2369.75,14.99,4.87,129.77,0.38,1,4.308611111,4.1675
2.98,605.18,4139.71,2369.75,14.74,4.83,129.77,0.38,1,4.308888889,4.1675
2.93,605.18,4150.87,2366.37,14.93,4.79,129.82,0.38,1,4.309166667,4.1675
2.85,605.18,4150.87,2362.99,14.99,4.87,130.09,0.38,1,4.309444444,4.1675
2.93,605.18,4173.29,2376.52,14.93,4.87,129.98,0.36,1,4.309722222,4.1675
3.04,605.18,4162.06,2362.99,14.99,4.87,129.87,0.38,1,4.31,4.1675
3.08,605.18,4184.55,2369.75,14.99,4.87,130.04,0.38,1,4.310277778,4.1675
2.97,605.18,4184.55,2366.37,14.96,4.87,129.87,0.38,1,4.310555556,4.1675
2.96,605.18,4128.58,2376.52,15.04,4.87,129.93,0.38,1,4.310833333,4.1675
3.01,605.18,4184.55,2366.37,14.96,4.87,129.93,0.37,1,4.311111111,4.1675
3.01,605.18,4162.06,2366.37,15.13,4.87,129.98,0.38,1,4.311388889,4.1675
3.05,605.18,4195.85,2369.75,15.1,4.87,129.98,0.36,1,4.311666667,4.1675
3.08,605.18,4178.92,2376.52,15.02,4.89,129.93,0.38,1,4.311944444,4.1675
3.06,605.18,4184.55,2366.37,15.1,4.88,130.09,0.38,1,4.312222222,4.1675
3.25,605.18,4173.29,2369.75,15.1,4.87,129.98,0.37,1,4.3125,4.1675
3.01,605.18,4150.87,2366.37,15.1,4.9,129.93,0.36,1,4.312777778,4.1675
3.05,605.18,4357.39,2376.52,14.99,4.89,129.93,0.37,1,4.313055556,4.1675
3.11,605.18,4195.85,2383.31,14.99,4.85,129.93,0.32,1,4.313333333,4.1675
3.1,605.18,4195.85,2369.75,15.04,4.89,130.04,0.38,1,4.313611111,4.1675
3.15,605.18,4195.85,2369.75,15.02,4.89,129.82,0.38,1,4.313888889,4.1675
3.08,605.18,4195.85,2376.52,15.1,4.88,130.09,0.37,1,4.314166667,4.1675
2.99,605.18,4201.5,2379.92,15.1,4.9,129.93,0.32,1,4.314444444,4.1675
2.98,605.18,4207.17,2373.13,15.04,4.87,130.04,0.36,1,4.314722222,4.1675
2.96,605.18,4195.85,2376.52,15.07,4.9,129.93,0.37,1,4.315,4.1675
3.03,605.18,4218.52,2376.52,15.07,4.83,130.15,0.38,1,4.315277778,4.1675
3.08,605.18,4207.17,2376.52,14.93,4.9,130.2,0.37,1,4.315555556,4.1675
3.08,605.18,4207.17,2369.75,15.1,4.88,130.04,0.38,1,4.315833333,4.1675
3.04,605.18,4190.19,2369.75,15.1,4.9,129.98,0.38,1,4.316111111,4.1675
3.01,605.18,4195.85,2376.52,14.82,4.87,129.93,0.38,1,4.316388889,4.1675
3,605.18,4201.5,2373.13,15.04,4.87,130.09,0.36,1,4.316666667,4.1675
3.08,605.18,4073.4,2386.72,15.07,4.84,130.09,0.38,1,4.316944444,4.1675
3.09,605.18,4241.34,2373.13,15.07,4.84,130.09,0.37,1,4.317222222,4.1675
3.08,605.18,4218.52,2373.13,15.07,4.89,130.15,0.38,1,4.3175,4.1675
3.09,605.18,4212.85,2376.52,15.02,4.88,130.04,0.38,1,4.317777778,4.1675
3.08,605.18,4229.92,2362.99,15.13,4.9,130.09,0.38,1,4.318055556,4.1675
3.12,605.18,4218.52,2356.25,15.13,4.9,130.09,0.38,1,4.318333333,4.1675
3.04,605.18,4224.22,2383.31,14.88,4.9,130.2,0.3,1,4.318611111,4.1675
3.1,605.18,4229.92,2383.31,14.76,4.9,130.15,0.38,1,4.318888889,4.1675
3.02,605.18,4229.92,2383.31,15.04,4.94,130.15,0.38,1,4.319166667,4.1675
3.04,605.18,4235.62,2383.31,15.6,4.9,130.26,0.38,1,4.319444444,4.1675
3.04,605.18,4229.92,2390.12,15.25,4.9,130.2,0.38,1,4.319722222,4.1675
3.06,605.18,4229.92,2383.31,15.19,4.92,130.15,0.38,1,4.32,4.1675
3.15,605.18,4224.22,2396.95,15.22,4.92,130.2,0.38,1,4.320277778,4.1675
3.03,605.18,4357.39,2376.52,15.04,4.88,130.15,0.38,1,4.320555556,4.1675
3.08,605.18,4156.47,2386.72,15.16,4.91,130.2,0.37,1,4.320833333,4.1675
3.06,605.18,4229.92,2400.37,15.04,4.92,130.2,0.38,1,4.321111111,4.1675
3.06,605.18,4247.06,2383.31,15.16,4.9,130.26,0.38,1,4.321388889,4.1675
3.09,605.18,4229.92,2376.52,15.13,4.9,133.54,0.36,1,4.321666667,4.1675
3.05,605.18,4241.34,2400.37,15.22,4.9,130.36,0.38,1,4.321944444,4.1675
3.1,605.18,4247.06,2386.72,15.13,4.99,130.26,0.36,1,4.322222222,4.1675
3,605.18,4252.8,2403.79,15.19,4.9,130.31,0.37,1,4.3225,4.1675
3,605.18,4247.06,2390.12,14.65,4.89,130.15,0.36,1,4.322777778,4.1675
2.98,605.18,4252.8,2383.31,15.02,5.12,130.15,0.38,1,4.323055556,4.1675
3,605.18,4241.34,2390.12,15.16,4.91,130.58,0.38,1,4.323333333,4.1675
3.08,605.18,4241.34,2417.52,15.22,4.9,130.26,0.38,1,4.323611111,4.1675
3.08,605.18,4264.28,2390.12,15.04,4.89,130.26,0.38,1,4.323888889,4.1675
3.08,605.18,4264.28,2396.95,15.04,4.93,130.15,0.36,1,4.324166667,4.1675
3.1,605.18,4241.34,2403.79,15.19,4.9,130.26,0.38,1,4.324444444,4.1675
3.1,605.18,4252.8,2386.72,15.16,4.9,130.53,0.38,1,4.324722222,4.1675
3.04,605.18,4258.54,2396.95,15.25,4.91,130.31,0.38,1,4.325,4.1675
3.08,605.18,4264.28,2376.52,15.27,4.92,130.04,0.38,1,4.325277778,4.1675
3.04,605.18,4258.54,2396.95,15.19,4.9,130.26,0.38,1,4.325555556,4.1675
3.03,605.18,4252.8,2400.37,15.16,4.9,130.31,0.38,1,4.325833333,4.1675
3.03,605.18,4270.04,2396.95,15.22,4.9,130.15,0.38,1,4.326111111,4.1675
3.03,605.18,4264.28,2393.53,15.13,4.91,130.31,0.39,1,4.326388889,4.1675
2.36,605.18,4264.28,2410.65,15.22,4.9,130.26,0.38,1,4.326666667,4.1675
3.06,605.18,4298.95,2414.08,15.16,4.91,130.2,0.38,1,4.326944444,4.1675
3,605.18,4281.58,2403.79,15.16,4.9,130.31,0.38,1,4.327222222,4.1675
3.01,605.18,4281.58,2494.32,15.25,4.92,130.91,0.38,1,4.3275,4.1675
3.05,605.18,4264.28,2403.79,15.07,4.9,130.42,0.37,1,4.327777778,4.1675
3.06,605.18,4275.81,2403.79,15.22,4.91,130.31,0.36,1,4.328055556,4.1675
3.11,605.18,4264.28,2417.52,15.19,4.91,130.31,0.38,1,4.328333333,4.1675
3.11,605.18,4275.81,2414.08,15.19,4.79,130.91,0.38,1,4.328611111,4.1675
3.02,605.18,4281.58,2410.65,15.22,5.03,130.47,0.37,1,4.328888889,4.1675
3.01,605.18,4275.81,2438.26,15.22,4.93,130.2,0.38,1,4.329166667,4.1675
3.33,605.18,4287.36,2410.65,15.27,4.93,130.36,0.38,1,4.329444444,4.1675
3.12,605.18,4316.39,2414.08,15.22,4.92,130.53,0.36,1,4.329722222,4.1675
3.01,605.18,4287.36,2410.65,15.27,4.93,130.58,0.38,1,4.33,4.1675
3.14,605.18,4322.22,2417.52,15.16,4.94,130.47,0.38,1,4.330277778,4.1675
2.97,605.18,3997.46,2420.97,15.22,4.93,130.53,0.38,1,4.330555556,4.1675
2.99,605.18,4316.39,2417.52,15.22,4.92,130.31,0.37,1,4.330833333,4.1675
3.01,605.18,4304.75,2420.97,15.25,4.94,130.64,0.38,1,4.331111111,4.1675
2.96,605.18,4298.95,2414.08,15.33,4.95,130.58,0.38,1,4.331388889,4.1675
3.02,605.18,4310.57,2424.42,15.3,4.93,130.47,0.38,1,4.331666667,4.1675
3.05,605.18,4298.95,2455.66,15.19,4.93,130.47,0.38,1,4.331944444,4.1675
3.07,605.18,4333.91,2452.17,15.19,4.94,130.58,0.38,1,4.332222222,4.1675
3.11,605.18,4298.95,2376.52,15.19,4.93,130.64,0.38,1,4.3325,4.1675
3.01,605.18,4310.57,2424.42,15.16,4.95,130.47,0.38,1,4.332777778,4.1675
3.06,605.18,4310.57,2431.33,15.3,5.5,131.13,0.37,1,4.333055556,4.1675
2.81,605.18,4310.57,2417.52,15.48,4.98,130.58,0.38,1,4.333333333,4.1675
3.07,605.18,4304.75,2420.97,15.22,4.93,130.47,0.37,1,4.333611111,4.1675
3.07,605.18,4310.57,2417.52,15.16,4.96,130.69,0.38,1,4.333888889,4.1675
2.81,605.18,4322.22,2420.97,15.36,4.93,130.69,0.36,1,4.334166667,4.1675
3.29,605.18,4345.63,2431.33,15.33,4.94,130.69,0.38,1,4.334444444,4.1675
3.08,605.18,4310.57,2424.42,15.3,4.93,130.58,0.38,1,4.334722222,4.1675
3.1,605.18,4333.91,2424.42,15.19,4.94,130.69,0.38,1,4.335,4.1675
3.06,605.18,4316.39,2427.87,15.16,4.94,130.64,0.38,1,4.335277778,4.1675
3.08,605.18,4333.91,2424.42,15.42,4.93,130.86,0.38,1,4.335555556,4.1675
3.03,605.18,4310.57,2424.42,15.27,4.94,130.75,0.38,1,4.335833333,4.1675
3.11,605.18,4357.39,2562.39,15.27,4.88,130.91,0.38,1,4.336111111,4.1675
3.07,605.18,4369.18,2480.2,15.3,4.93,130.69,0.38,1,4.336388889,4.1675
2.85,605.18,4428.64,2431.33,15.42,4.94,130.69,0.37,1,4.336666667,4.1675
3.08,605.18,4416.68,2417.52,15.66,4.73,130.69,0.39,1,4.336944444,4.1675
3.1,605.18,4375.09,2431.33,15.25,4.95,130.69,0.38,1,4.337222222,4.1675
3.11,605.18,4357.39,2431.33,15.36,4.95,130.64,0.37,1,4.3375,4.1675
3.11,605.18,4357.39,2431.33,15.25,4.96,130.75,0.38,1,4.337777778,4.1675
3.11,605.18,4339.77,2431.33,15.25,4.94,130.75,0.39,1,4.338055556,4.1675
3.11,605.18,4369.18,2427.87,15.33,4.96,131.02,0.37,1,4.338333333,4.1675
3.11,605.18,4363.28,2434.79,15.22,4.93,130.69,0.38,1,4.338611111,4.1675
3.03,605.18,4363.28,2424.42,15.22,4.91,130.69,0.38,1,4.338888889,4.1675
3.22,605.18,4333.91,2431.33,15.3,4.95,130.91,0.38,1,4.339166667,4.1675
3.05,605.18,4369.18,2434.79,15.39,4.96,130.69,0.38,1,4.339444444,4.1675
3.17,605.18,4386.93,2438.26,15.25,4.96,131.02,0.37,1,4.339722222,4.1675
3.17,605.18,4381.01,2438.26,15.3,4.94,130.86,0.38,1,4.34,4.1675
2.95,605.18,4375.09,2431.33,15.25,4.93,130.91,0.38,1,4.340277778,4.1675
2.97,605.18,4375.09,2431.33,15.22,4.95,130.8,0.38,1,4.340555556,4.1675
2.89,605.18,4357.39,2424.42,15.27,4.92,130.42,0.38,1,4.340833333,4.1675
2.92,605.18,4381.01,2431.33,15.33,4.9,130.91,0.38,1,4.341111111,4.1675
2.92,605.18,4381.01,2427.87,15.39,4.96,130.86,0.38,1,4.341388889,4.1675
